sep=,
"area_name","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal"
"East Staffordshire","113900","56600","57300","998","461","537","10","8","12","8.8","543.4","613.5","476.1","6.7","5.4","8"
"Lichfield","100900","50000","50900","919","436","483","5","3","8","9.1","495.7","564.8","443.3","5","3","7.9"
"Newcastle-under-Lyme","123900","61200","62600","1203","586","617","8","5","10","9.7","542.6","637.6","474.5","6.3","3.9","7.8"
"South Staffordshire","108300","53300","55000","1016","475","541","2","2","5","9.4","473.1","539.9","418.6","0","0","5.4"
"Stafford","130900","65500","65400","1193","574","619","6","4","10","9.1","493.2","567.6","435.1","4.7","3.1","7.8"
"Staffordshire Moorlands","97200","47800","49400","937","442","495","4","4","9","9.6","488.7","561.7","427.1","4.5","4.5","10"
"Tamworth","76900","37700","39200","545","257","288","4","2","10","7.1","515.4","586.6","458.7","4","0","10"
"Warwickshire","546600","269600","277000","4823","2371","2452","28","21","46","8.8","495.1","593.6","415.4","4.5","3.3","7.3"
"North Warwickshire","62100","30600","31500","617","290","327","7","6","8","9.9","570.2","641.3","508.2","10.8","9.2","12.3"
"Nuneaton and Bedworth","125400","61500","63900","1105","548","557","5","3","13","8.8","568.2","694.8","477.6","3.1","1.8","7.9"
"Rugby","100500","50100","50400","835","397","438","3","2","12","8.3","481.5","539.4","431.9","2.4","0","9.4"
"Stratford-on-Avon","120800","58700","62100","1160","589","571","6","6","6","9.6","440","559.4","346.8","5.2","5.2","5.2"
"Warwick","137700","68700","69000","1106","547","559","7","4","7","8","469","571.5","381.4","4.5","2.6","4.5"
"West Midlands (Met county)","2739700","1349200","1390500","22873","11323","11550","286","207","395","8.3","565.6","682.2","467.7","7","5.1","9.6"
"Birmingham","1074300","528800","545400","7985","3926","4059","143","107","193","7.4","579.2","694.3","480.8","8.2","6.1","11"
"Coventry","316900","157800","159100","2630","1303","1327","27","17","34","8.3","577.2","689.7","479.4","5.6","3.5","7"
"Dudley","313300","153900","159400","2933","1458","1475","13","11","21","9.4","538.4","652.8","445.3","3.5","3","5.6"
"Sandwell","309000","152100","156900","2775","1379","1396","33","25","56","9","610.6","749.1","501.9","6.6","5","11.1"
"Solihull","206900","100400","106400","1789","895","894","10","8","19","8.6","459.6","558.9","386.8","4.2","3.4","8"
"Walsall","269500","132400","137100","2426","1206","1220","36","26","41","9","571.7","691.3","467.2","9.6","6.9","10.9"
"Wolverhampton","249900","123700","126200","2335","1156","1179","24","13","31","9.3","584.7","706.2","476.3","6.6","3.6","8.4"
"Worcestershire","566600","278900","287600","5290","2527","2763","15","10","37","9.3","488.9","572.4","416.6","2.4","1.6","5.9"
"Bromsgrove","93700","46300","47400","927","393","534","1","1","0","9.9","461.4","489.4","434.5","0","0","0"
"Malvern Hills","74700","36300","38400","911","430","481","3","0","0","12.2","487.2","579.6","404.7","4.7","0","0"
"Redditch","84300","41900","42400","644","314","330","2","1","6","7.6","547.5","639.1","466.2","0","0","5.1"
"Worcester","98700","48600","50100","738","365","373","5","5","10","7.5","503.3","615.6","418.3","3.8","3.8","7.5"
"Wychavon","117100","57500","59600","1094","543","551","1","0","6","9.3","442.2","531.6","365.3","0","0","5.3"
"Wyre Forest","98000","48300","49700","976","482","494","3","3","9","10","519.9","617.2","435.1","2.9","2.9","8.5"
"EAST","5862400","2885000","2977400","50561","24394","26167","297","211","506","8.6","485.3","570.4","414.4","4.1","2.9","6.9"
"Bedford UA","157800","77500","80300","1269","606","663","19","11","18","8","507.5","587.1","441.1","9.1","5.3","8.6"
"Central Bedfordshire UA","255600","126800","128900","1822","928","894","12","9","19","7.1","466","552.3","390.2","3.6","2.7","5.7"
"Luton UA","203600","102300","101300","1309","663","646","17","10","21","6.4","558.4","650.9","472.8","4.8","2.8","5.9"
"Peterborough UA","184500","91400","93100","1426","749","677","15","9","22","7.7","564.5","706","450.4","4.8","2.9","7"
"Southend on Sea UA","174300","85400","88900","1722","763","959","8","5","11","9.9","522.9","598.7","461.3","3.5","2.2","4.8"
"Thurrock UA","158300","78100","80100","1142","552","590","4","3","13","7.2","547.4","652.6","461.4","1.7","1.3","5.4"
"Cambridgeshire","622300","310500","311800","4550","2220","2330","24","17","45","7.3","440.6","520.2","377.4","3.2","2.3","6"
"Cambridge","122700","62600","60100","747","353","394","5","3","7","6.1","442.1","529.3","374.1","3.6","2.1","5"
"East Cambridgeshire","84200","41700","42600","677","328","349","7","5","10","8","456.9","558.6","381.6","6.3","4.5","8.9"
"Fenland","95500","46900","48500","992","471","521","4","3","9","10.4","537.4","622.2","465.2","3.5","2.6","7.8"
"Huntingdonshire","170000","84800","85300","1164","585","579","6","4","11","6.8","434.9","521.4","367.1","2.9","2","5.4"
"South Cambridgeshire","149800","74500","75400","970","483","487","2","2","8","6.5","375","436.3","325.7","0","0","4.4"
"Essex","1396600","681800","714800","12864","6082","6782","64","46","113","9.2","499","580.6","430.9","3.9","2.8","6.9"
"Basildon","175000","84900","90100","1407","648","759","7","4","21","8","501.4","571.5","445.6","3","1.7","9"
"Braintree","147500","72400","75100","1224","572","652","7","5","13","8.3","484.6","550","433.8","4","2.8","7.4"
"Brentwood","73800","35700","38200","679","300","379","3","1","0","9.2","440.6","491.3","393.5","3.9","0","0"
"Castle Point","88000","42900","45100","905","442","463","4","4","7","10.3","489.9","579.4","429.6","4.9","4.9","8.6"
"Chelmsford","168500","83000","85500","1324","658","666","5","4","9","7.9","461.5","552.6","383.5","2.5","2","4.5"
"Colchester","173600","85800","87800","1432","663","769","8","4","9","8.2","517.2","597.3","441.3","3.7","1.8","4.1"
"Epping Forest","124900","60500","64400","1139","525","614","4","3","9","9.1","485.8","557.6","427.4","2.5","1.9","5.6"
"Harlow","82200","39800","42400","703","339","364","9","7","12","8.6","581.8","690.4","498","7","5.5","9.3"
"Maldon","61700","30500","31200","584","261","323","1","0","0","9.5","496.3","542.5","451.4","0","0","0"
"Rochford","83300","40800","42500","704","345","359","5","5","10","8.4","426.6","512.5","360.5","6.2","6.2","12.4"
"Tendring","138100","66100","72000","2109","1007","1102","7","5","7","15.3","598.7","717.5","496","5","3.6","5"
"Uttlesford","80000","39600","40500","654","322","332","4","4","8","8.2","454.9","548.7","374.3","4.7","4.7","9.3"
"Hertfordshire","1119800","549000","570800","8708","4199","4509","53","44","107","7.8","474.1","564.5","401","3.5","2.9","7.1"
"Broxbourne","93700","45400","48300","687","349","338","1","0","7","7.3","460.8","568.9","376.8","0","0","5.5"
"Dacorum","145300","71500","73800","1125","566","559","5","4","10","7.7","461.1","569.7","366.3","2.7","2.2","5.4"
"East Hertfordshire","138200","67900","70300","951","469","482","4","3","10","6.9","434.5","521.7","367.4","2.3","1.7","5.8"
"Hertsmere","100400","48500","51900","841","382","459","7","7","12","8.4","485.2","546.7","439.4","5.4","5.4","9.3"
"North Hertfordshire","127500","62500","65000","1203","545","658","3","2","12","9.4","501.8","578.3","434.1","1.8","0","7.2"
"St Albans","141200","69300","71900","1022","511","511","6","4","12","7.2","445.2","537.3","370.9","3.1","2","6.1"
"Stevenage","84200","41600","42600","632","313","319","11","11","15","7.5","523.2","620.7","452.1","9","9","12.2"
"Three Rivers","87900","42700","45200","733","353","380","3","3","8","8.3","455.3","562.4","370","2.9","2.9","7.6"
"Watford","90700","45000","45600","633","306","327","5","4","12","7","533.6","642.5","443.8","3.3","2.6","7.9"
"Welwyn Hatfield","110700","54500","56200","881","405","476","8","6","9","8","484.4","557","430.3","5.7","4.3","6.4"
"Norfolk","859400","421200","438200","8869","4295","4574","46","36","83","10.3","485.1","568","415.7","4.9","3.9","8.8"
"Breckland","131000","64800","66200","1414","664","750","7","6","12","10.8","500.9","572.4","438.3","4.7","4","8"
"Broadland","124700","60900","63800","1281","578","703","5","5","8","10.3","441.2","479.2","412.6","4.4","4.4","6.9"
"Great Yarmouth","97400","47900","49600","1120","548","572","6","5","11","11.5","590.2","701","500.5","5.4","4.5","9.9"
"King's Lynn and West Norfolk","147900","72400","75500","1587","785","802","13","11","15","10.7","498.2","583.8","424.9","8.2","7","9.5"
"North Norfolk","101700","49200","52400","1275","631","644","5","2","8","12.5","445.4","544.1","367","5.8","0","9.3"
"Norwich","132200","65300","66900","1062","526","536","6","3","16","8","522.1","641","425.1","3.2","1.6","8.4"
"South Norfolk","124500","60700","63800","1130","563","567","4","4","13","9.1","431.5","504.5","366.5","3.2","3.2","10.2"
"Suffolk","730100","360900","369200","6880","3337","3543","35","21","54","9.4","465.2","547.2","395.1","4.2","2.5","6.4"
"Babergh","87900","43000","44900","808","405","403","3","1","0","9.2","424.2","519.2","349.7","3.8","0","0"
"Forest Heath","60000","30300","29800","455","223","232","5","1","8","7.6","465.2","541.2","393.8","4.8","0","7.6"
"Ipswich","133700","66600","67100","1086","505","581","13","8","14","8.1","506.5","586.7","438.6","6.6","4","7"
"Mid Suffolk","97100","48200","48900","851","425","426","1","1","0","8.8","435.3","509.4","372.2","0","0","0"
"St Edmundsbury","111400","55900","55500","900","439","461","4","4","9","8.1","425.2","495.7","366.8","3.2","3.2","7.1"
"Suffolk Coastal","124600","60900","63700","1394","669","725","4","3","6","11.2","469.3","542.7","406","3.6","2.7","5.3"
"Waveney","115400","56000","59300","1386","671","715","5","3","8","12","511.1","612.1","423.1","4","2.4","6.4"
"LONDON","8204400","4054000","4150399","46685","23190","23495","551","380","1058","5.7","493.8","594.2","410.7","4.1","2.9","7.9"
"INNER LONDON","3241100","1616500","1624600","15195","7889","7306","244","180","466","4.7","527.6","637.7","432.3","4.5","3.3","8.6"
"Camden","220100","108100","112000","1103","561","542","19","15","30","5","461","555.4","384.9","6.1","4.8","9.6"
"Hackney and City of London3","254600","126700","127900","1042","559","483","19","11","43","4.1","541.8","641.6","444.6","4.3","2.5","9.6"
"Hammersmith and Fulham","182400","89100","93300","937","486","451","9","8","13","5.1","563.6","699.2","451.3","3.3","2.9","4.7"
"Haringey","255500","126800","128699","1107","574","533","15","10","26","4.3","492.2","593","408.9","3.5","2.4","6.1"
"Islington","206300","101800","104500","1042","566","476","8","6","23","5.1","571.8","710.7","450.2","2.7","2","7.6"
"Kensington and Chelsea","158300","78100","80200","814","407","407","9","7","21","5.1","423.6","496","358.5","4.1","3.2","9.5"
"Lambeth","304500","151800","152700","1355","766","589","31","20","46","4.5","547.4","707","411.6","6.5","4.2","9.6"
"Lewisham","276900","135600","141300","1607","768","839","22","15","52","5.8","580.8","686","493.4","4.5","3.1","10.5"
"Newham","310500","162000","148400","1231","646","585","26","17","47","4","555.8","659.7","463.5","4.1","2.7","7.4"
"Southwark","288700","143000","145700","1340","700","640","25","22","51","4.6","560.1","686.2","458.3","4.9","4.3","10"
"Tower Hamlets","256000","132100","123900","1013","570","443","32","29","57","4","609.1","757.7","469.5","7","6.4","12.4"
"Wandsworth","307700","149200","158500","1521","726","795","18","13","41","4.9","531.7","628.4","451.5","3.3","2.4","7.4"
"Westminster","219600","112000","107600","1083","560","523","11","7","16","4.9","442.6","514.6","375.5","3.6","2.3","5.2"
"OUTER LONDON","4963300","2437500","2525800","31490","15301","16189","307","200","592","6.3","476.7","571.6","400.1","3.9","2.5","7.5"
"Barking and Dagenham","187000","90900","96200","1218","589","629","14","11","40","6.5","586.7","731.3","476.8","3.8","3","10.8"
